"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose";"third_dose"
2022-09-14;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";2;1;3
2022-09-14;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;6
2022-09-14;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";3;0;6
2022-09-14;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-09-13;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;7
2022-09-13;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;1;3
2022-09-13;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;1;6
2022-09-13;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-13;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-13;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-09-13;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-13;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";1;1;2
2022-09-13;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";2;0;1
2022-09-12;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";2;0;4
2022-09-12;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";2;0;12
2022-09-12;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;0;3
2022-09-12;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;4
2022-09-12;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-12;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";1;0;0
2022-09-12;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;3
2022-09-11;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";2;4;11
2022-09-10;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";68;0;0
2022-09-10;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";1;6;15
2022-09-10;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-09;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;2;13
2022-09-09;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";5;4;6
2022-09-09;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;1;9
2022-09-09;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;0
2022-09-09;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";1;0;7
2022-09-09;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";1;0;0
2022-09-09;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";4;4;16
2022-09-09;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";4;0;1
2022-09-09;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";2;0;5
2022-09-09;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;2;8
2022-09-09;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;1;10
2022-09-09;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;12
2022-09-09;"Žilinský kraj";"SK031";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";2;1;0
2022-09-08;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";4;1;11
2022-09-08;"Banskobystrický kraj";"SK032";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-08;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";5;1;16
2022-09-08;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;1;4
2022-09-08;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-08;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";10;0;6
2022-09-08;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";1;0;2
2022-09-08;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;1
2022-09-08;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-09-08;"Trenčiansky kraj";"SK022";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;2;0
2022-09-08;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";3;3;3
2022-09-07;"Banskobystrický kraj";"SK032";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;0
2022-09-07;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";3;2;7
2022-09-07;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;6;14
2022-09-07;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";6;0;0
2022-09-07;"Košický kraj";"SK042";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";3;17;0
2022-09-07;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";3;3;10
2022-09-07;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;0
2022-09-07;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;1;5
2022-09-07;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";3;2;11
2022-09-07;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";1;0;0
2022-09-07;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;2;9
2022-09-07;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";3;2;2
2022-09-07;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;6
2022-09-06;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";1;0;22
2022-09-06;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;1;5
2022-09-06;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";3;3;22
2022-09-06;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-09-06;"Prešovský kraj";"SK041";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;2;0
2022-09-06;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";3;0;12
2022-09-06;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;0
2022-09-06;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";1;1;1
2022-09-06;"Trenčiansky kraj";"SK022";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;0
2022-09-06;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-06;"Trnavský kraj";"SK021";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";1;1;0
2022-09-06;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";1;0;7
2022-09-06;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;1;4
2022-09-05;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";2;0;3
2022-09-05;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";7;6;7
2022-09-05;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;0;6
2022-09-05;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;2
2022-09-05;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-09-05;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";1;0;0
2022-09-05;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;20
2022-09-03;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-02;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-02;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";5;6;24
2022-09-02;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;2;14
2022-09-02;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";1;0;1
2022-09-02;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;8
2022-09-02;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";0;0;1
2022-09-02;"Prešovský kraj";"SK041";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;3;0
2022-09-02;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;4;10
2022-09-02;"Prešovský kraj";"SK041";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-02;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;0;1
2022-09-02;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;6
2022-09-02;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;4
2022-09-02;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;2;0
2022-09-02;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";4;0;3
2022-09-02;"Žilinský kraj";"SK031";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;2
2022-09-01;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";4;4;6
2022-08-31;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;1;10
2022-08-31;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";4;0;3
2022-08-31;"Banskobystrický kraj";"SK032";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;0
2022-08-31;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";6;3;26
2022-08-31;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";5;0;5
2022-08-31;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;4;4
2022-08-31;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-08-31;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";1;0;7
2022-08-31;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;1;9
2022-08-31;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";1;0;0
2022-08-31;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;8
2022-08-31;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;3
2022-08-31;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";2;0;0
2022-08-31;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";1;2;14
2022-08-30;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-30;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";1;2;33
2022-08-30;"Bratislavský kraj";"SK010";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;5
2022-08-30;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";2;1;7
2022-08-30;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-08-30;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-30;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";3;0;3
2022-08-30;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;2;5
2022-08-30;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-30;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;0;0
2022-08-30;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-08-30;"Žilinský kraj";"SK031";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;2
2022-08-28;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-28;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";5;4;3
2022-08-27;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-26;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";4;5;35
2022-08-26;"Banskobystrický kraj";"SK032";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;0
2022-08-26;"Banskobystrický kraj";"SK032";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;0
2022-08-26;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";8;2;26
2022-08-26;"Bratislavský kraj";"SK010";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;3;2
2022-08-26;"Bratislavský kraj";"SK010";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;4
2022-08-26;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;0;16
2022-08-26;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";1;2;0
2022-08-26;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";1;10;16
2022-08-26;"Nitriansky kraj";"SK023";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-08-26;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";2;1;29
2022-08-26;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";0;0;4
2022-08-26;"Prešovský kraj";"SK041";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";1;0;0
2022-08-26;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;0;1
2022-08-26;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";2;0;5
2022-08-26;"Trenčiansky kraj";"SK022";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;2
2022-08-26;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;1;2
2022-08-26;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";2;0;17
2022-08-26;"Žilinský kraj";"SK031";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";3;3;1
2022-08-25;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";3;0;15
2022-08-25;"Banskobystrický kraj";"SK032";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;1
2022-08-25;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";165;253;201
2022-08-25;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";0;0;2
2022-08-25;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";3;3;5
2022-08-25;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";1;1;2
2022-08-25;"Prešovský kraj";"SK041";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;1
2022-08-25;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";2;0;13
2022-08-25;"Trenčiansky kraj";"SK022";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;6
2022-08-25;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";3;3;18
2022-08-25;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;1;0
2022-08-25;"Žilinský kraj";"SK031";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;7
2022-08-25;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-24;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";1;4;27
2022-08-24;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;3;7
2022-08-24;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";3;0;4
2022-08-24;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;2;4
2022-08-24;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;0
2022-08-24;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;8
2022-08-24;"Nitriansky kraj";"SK023";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-08-24;"Prešovský kraj";"SK041";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;0
2022-08-24;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";6;7;17
2022-08-24;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";3;0;1
2022-08-24;"Prešovský kraj";"SK041";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;1;0
2022-08-24;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";3;5;4
2022-08-24;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;1;2
2022-08-23;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";1;2;10
2022-08-23;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";1;5;12
2022-08-23;"Bratislavský kraj";"SK010";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;3
2022-08-23;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;1;17
2022-08-23;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;0
2022-08-23;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;3;10
2022-08-23;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";3;0;7
2022-08-23;"Trenčiansky kraj";"SK022";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-08-23;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-23;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;1;2
2022-08-22;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-08-22;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";1;5;19
2022-08-22;"Bratislavský kraj";"SK010";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;0;2
2022-08-22;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;1;13
2022-08-22;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-08-22;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-08-22;"Prešovský kraj";"SK041";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";1;0;0
2022-08-22;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;2;5
2022-08-22;"Trnavský kraj";"SK021";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";0;0;0
2022-08-22;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;0;4
2022-08-22;"Žilinský kraj";"SK031";"Spikevax injekčná disperzia (pôvodne COVID-19 Vaccine Moderna)dis inj 10x5 ml (liek.inj.skl.)";0;1;3
2022-08-21;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-08-21;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;0;3
2022-08-20;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-08-19;"Banskobystrický kraj";"SK032";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";3;0;0
2022-08-19;"Banskobystrický kraj";"SK032";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 195x1,3 ml (liek.inj.skl.)";0;0;0
